,Title,Year,Source,Authors,Class,topic
0,Training a Resilient Q-Network against Observational Interference,2022,AAAI,"Chao-Han Huck Yang, I-Te Danny Hung, Yi Ouyang, Pin-Yu Chen",MAIN TRACK,
1,DeepAuth: A DNN Authentication Framework by Model-Unique and Fragile Signature Embedding,2022,AAAI,"Yingjie Lao, Weijie Zhao, Peng Yang, Ping Li",MAIN TRACK,
2,Hyperbolic Disentangled Representation for Fine-Grained Aspect Extraction,2022,AAAI,"Chang-You Tai, Ming-Yao Li, Lun-Wei Ku",MAIN TRACK,representation
3,SAIL: Self-Augmented Graph Contrastive Learning,2022,AAAI,"Lu Yu, Shichao Pei, Lizhong Ding, Jun Zhou, Longfei Li, Chuxu Zhang, Xiangliang Zhang",MAIN TRACK,graph/contrastive learning/augmentation
4,Inference and Learning with Model Uncertainty in Probabilistic Logic Programs,2022,AAAI,"Victor Verreet, Vincent Derkinderen, Pedro Zuidberg Dos Martires, Luc De Raedt",MAIN TRACK,inference
5,Reliable Inlier Evaluation for Unsupervised Point Cloud Registration,2022,AAAI,"Yaqi Shen, Le Hui, Haobo Jiang, Jin Xie, Jian Yang",MAIN TRACK,
6,Team Correlated Equilibria in Zero-Sum Extensive-Form Games via Tree Decompositions,2022,AAAI,"Brian Hu Zhang, Tuomas Sandholm",MAIN TRACK,
7,Linking Transformer to Hawkes Process for Information Cascade Prediction (Student Abstract),2022,AAAI,"Liu Yu, Xovee Xu, Ting Zhong, Goce Trajcevski, Fan Zhou",STUDENT ABSTRACT AND POSTER PROGRAM,transformer
8,Siamese Network with Interactive Transformer for Video Object Segmentation,2022,AAAI,"Meng Lan, Jing Zhang, Fengxiang He, Lefei Zhang",MAIN TRACK,transformer/active learning/segmentation
9,NoiseGrad — Enhancing Explanationsby Introducing Stochasticity to Model Weights,2022,AAAI,"Kirill Bykov, Anna Hedström, Shinichi Nakajima, Marina M.-C. Höhne",MAIN TRACK,
10,Curiosity-Driven Exploration via Latent Bayesian Surprise,2022,AAAI,"Pietro Mazzaglia, Ozan Catal, Tim Verbelen, Bart Dhoedt",MAIN TRACK,bayesian
11,Mitigating Reporting Bias in Semi-Supervised Temporal Commonsense Inference with Probabilistic Soft Logic,2022,AAAI,"Bibo Cai, Xiao Ding, Bowen Chen, Li Du, Ting Liu",MAIN TRACK,inference
12,Feature Generation and Hypothesis Verification for Reliable Face Anti-Spoofing,2022,AAAI,"Shice Liu, Shitao Lu, Hongyi Xu, Jing Yang, Shouhong Ding, Lizhuang Ma",MAIN TRACK,generative model
13,Intelligent Online Selling Point Extraction for E-commerce Recommendation,2022,AAAI,"Xiaojie Guo, Shugen Wang, Hanqing Zhao, Shiliang Diao, Jiajia Chen, Zhuoye Ding, Zhen He, , Yun Xiao, Bo Long, Han Yu, Lingfei Wu",STUDENT ABSTRACT AND POSTER PROGRAM,online learning
14,Paving the Way for Novices: How to Teach AI for K-12 Education in China,2022,AAAI,"Jiachen Song, Linan Zhang, Jinglei Yu, , Anyao Ma, Yu Lu",STUDENT ABSTRACT AND POSTER PROGRAM,
15,PrivateSNN: Privacy-Preserving Spiking Neural Networks,2022,AAAI,"Youngeun Kim, Yeshwanth Venkatesha, Priyadarshini Panda",MAIN TRACK,
16,Introducing Variational Autoencoders to High School Students,2022,AAAI,"Zhuoyue Lyu, Safinah Ali, Cynthia Breazeal",MAIN TRACK,
17,KAM Theory Meets Statistical Learning Theory: Hamiltonian Neural Networks with Non-Zero Training Loss,2022,AAAI,"Yuhan Chen, Takashi Matsubara, Takaharu Yaguchi",MAIN TRACK,
18,Operator-Potential Heuristics for Symbolic Search,2022,AAAI,"Daniel Fišer, Alvaro Torralba, Joerg Hoffmann",MAIN TRACK,
19,FedSoft: Soft Clustered Federated Learning with Proximal Local Updating,2022,AAAI,"Yichen Ruan, Carlee Joe-Wong",MAIN TRACK,federated learning
20,Co-Promotion Predictions of Financing Market and Sales Market: A Cooperative-Competitive Attention Approach,2022,AAAI,"Lei Zhang, Xiang Wang, Chuang Zhao, Hongke Zhao, Rui Li, Runze Wu",MAIN TRACK,transformer
21,Robust Action Gap Increasing with Clipped Advantage Learning,2022,AAAI,"Zhe Zhang, Yaozhong Gan, Xiaoyang Tan",MAIN TRACK,
22,An End-to-End Traditional Chinese Medicine Constitution Assessment System Based on Multimodal Clinical Feature Representation and Fusion,2022,AAAI,"Huisheng Mao, Baozheng Zhang, Hua Xu, Kai Gao",DEMONSTRATIONS,representation/multimodal
23,PUMA: Performance Unchanged Model Augmentation for Training Data Removal,2022,AAAI,"Ga Wu, Masoud Hashemi, Christopher Srinivasa",MAIN TRACK,augmentation
24,Fully Spiking Variational Autoencoder,2022,AAAI,"Hiromichi Kamata, Yusuke Mukuta, Tatsuya Harada",MAIN TRACK,
25,BROS: A Pre-Trained Language Model Focusing on Text and Layout for Better Key Information Extraction from Documents,2022,AAAI,"Teakgyu Hong, Donghyun Kim, Mingi Ji, Wonseok Hwang, Daehyun Nam, Sungrae Park",MAIN TRACK,
26,Sampling and Counting Acyclic Orientations in Chordal Graphs (Student Abstract),2022,AAAI,Wenbo Sun,STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST,graph
27,Chess as a Testbed for Language Model State Tracking,2022,AAAI,"Shubham Toshniwal, Sam Wiseman, Karen Livescu, Kevin Gimpel",MAIN TRACK,
28,Hard to Forget: Poisoning Attacks on Certified Machine Unlearning,2022,AAAI,"Neil G. Marchant, Benjamin I. P. Rubinstein, Scott Alfeld",MAIN TRACK,
29,Globally Optimal Hierarchical Reinforcement Learning for Linearly-Solvable Markov Decision Processes,2022,AAAI,"Guillermo Infante, Anders Jonsson, Vicenç Gómez",MAIN TRACK,reinforcement learning
30,Identification of Linear Latent Variable Model with Arbitrary Distribution,2022,AAAI,"Zhengming Chen, Feng Xie, Jie Qiao, Zhifeng Hao, Kun Zhang, Ruichu Cai",MAIN TRACK,
31,Enforcement Heuristics for Argumentation with Deep Reinforcement Learning,2022,AAAI,"Dennis Craandijk, Floris Bex",MAIN TRACK,reinforcement learning
32,Learning Temporally and Semantically Consistent Unpaired Video-to-Video Translation through Pseudo-Supervision from Synthetic Optical Flow,2022,AAAI,"Kaihong Wang, Kumar Akash, Teruhisa Misu",MAIN TRACK,zero_few-shot/flow
33,Efficient Causal Structure Learning from Multiple Interventional Datasets with Unknown Targets,2022,AAAI,"Yunxia Wang, Fuyuan Cao, Kui Yu, Jiye Liang",MAIN TRACK,
34,From ‚ÄúDynamics on Graphs‚Äù to ‚ÄúDynamics of Graphs‚Äù: An Adaptive Echo-State Network Solution (Student Abstract),2022,AAAI,"Lei Zhang, Zhiqian Chen, Chang-Tien Lu, Liang Zhao",STUDENT ABSTRACT AND POSTER PROGRAM,graph/adaptive
35,Do We Need a New Large-Scale Quality Assessment Database for Generative Inpainting Based 3D View Synthesis? (Student Abstract),2022,AAAI,"Sadbhawna, Vinit Jakhetiya, Badri Subudhi, Harshit Shakya, Deebha Mumtaz",STUDENT ABSTRACT AND POSTER PROGRAM,generative model
36,Online Apprenticeship Learning,2022,AAAI,"Lior Shani, Tom Zahavy, Shie Mannor",MAIN TRACK,online learning
37,Tight Neural Network Verification via Semidefinite Relaxations and Linear Reformulations,2022,AAAI,"Jianglin Lan, Alessio Lomuscio, Yang Zheng",MAIN TRACK,
38,Towards an AI-Infused Interdisciplinary Curriculum for Middle-Grade Classrooms,2022,AAAI,"Bita Akram, Spencer Yoder, Cansu Tatar, Sankalp Boorugu, Ifeoluwa Aderemi, Shiyan Jiang",MAIN TRACK,
39,Fast and Robust Online Inference with Stochastic Gradient Descent via Random Scaling,2022,AAAI,"Sokbae Lee, Myung Hwan Seo, Yuan Liao, Youngki Shin",MAIN TRACK,transformer/online learning/inference
40,Prior Gradient Mask Guided Pruning-Aware Fine-Tuning,2022,AAAI,"linhang cai, Zhulin An, Chuanguang Yang, yangchun yan, yongjun xu",MAIN TRACK,
41,Robust Adversarial Reinforcement Learning with Dissipation Inequation Constraint,2022,AAAI,"Peng Zhai, Jie Luo, Zhiyan Dong, Lihua Zhang, Shunli Wang, Dingkang Yang",MAIN TRACK,reinforcement learning/optimization
42,Predicting the Influence of Fake and Real News Spreaders (Student Abstract),2022,AAAI,"Amy Zhang, Aaron Brookhouse, Daniel Hammer, Francesca Spezzano, Liljana Babinkostova",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST,
43,Improving Bayesian Neural Networks by Adversarial Sampling,2022,AAAI,"Jiaru Zhang, Yang Hua, Tao Song, Hao Wang, Zhengui Xue, Ruhui Ma, Haibing Guan",MAIN TRACK,bayesian
44,Self-Labeling Framework for Novel Category Discovery over Domains,2022,AAAI,"Qing Yu, Daiki Ikami, Go Irie, Kiyoharu Aizawa",MAIN TRACK,
45,Adversarial Training for Improving Model Robustness? Look at Both Prediction and Interpretation,2022,AAAI,"Hanjie Chen, Yangfeng Ji",MAIN TRACK,
46,An Experimental Design Approach for Regret Minimization in Logistic Bandits,2022,AAAI,"Blake Mason, Kwang-Sung Jun, Lalit Jain",MAIN TRACK,
47,OA-FSUI2IT: A Novel Few-Shot Cross Domain Object Detection Framework with Object-Aware Few-shot Unsupervised Image-to-Image Translation,2022,AAAI,"Lifan Zhao, Yunlong Meng, Lin Xu",MAIN TRACK,
48,Cross-Modal Mutual Learning for Audio-Visual Speech Recognition and Manipulation,2022,AAAI,"Chih-Chun Yang, Wan-Cyuan Fan, Cheng-Fu Yang, Yu-Chiang Frank Wang",MAIN TRACK,
49,Active Sampling for Text Classification with Subinstance Level Queries,2022,AAAI,"Shayok Chakraborty, Ankita Singh",MAIN TRACK,active learning
50,SplitFed: When Federated Learning Meets Split Learning,2022,AAAI,"Chandra Thapa, M.A.P. Chamikara , Seyit Camtepe, Lichao Sun",MAIN TRACK,federated learning
51,Towards Automating Model Explanations with Certified Robustness Guarantees,2022,AAAI,"Mengdi Huai, Jinduo Liu, Chenglin Miao, Liuyi Yao, Aidong Zhang",MAIN TRACK,
52,Static-Dynamic Co-Teaching for Class-Incremental 3D Object Detection,2022,AAAI,"Na Zhao, Gim Hee Lee",MAIN TRACK,
53,On the Impossibility of Non-Trivial Accuracy in Presence of Fairness Constraints,2022,AAAI,"Carlos Pinzón, Catuscia Palamidessi, Pablo Piantanida, Frank Valencia",MAIN TRACK,optimization
54,Towards Robust Named Entity Recognition via Temporal Domain Adaptation and Entity Context Understanding,2022,AAAI,Oshin Agarwal,DOCTORAL CONSORTIUM,
55,Cross-Modal Coherence for Text-to-Image Retrieval,2022,AAAI,"Malihe Alikhani, Fangda Han, Hareesh Ravi, Mubbasir Kapadia, Vladimir Pavlovic, Matthew Stone",MAIN TRACK,
56,Go Wider Instead of Deeper,2022,AAAI,"Fuzhao Xue, Ziji Shi, Futao Wei, Yuxuan Lou, Yong Liu, Yang You",MAIN TRACK,
57,TDv2: A Novel Tree-Structured Decoder for Offline Mathematical Expression Recognition,2022,AAAI,"Changjie Wu, Jun Du, Yunqing Li, Jianshu Zhang, Chen Yang, Bo Ren, Yiqing Hu",MAIN TRACK,
58,Learning to Solve Travelling Salesman Problem with Hardness-Adaptive Curriculum,2022,AAAI,"Zeyang Zhang, Ziwei Zhang, Xin Wang, Wenwu Zhu",MAIN TRACK,adaptive
59,Machine Learning for Utility Prediction in Argument-Based Computational Persuasion,2022,AAAI,"Ivan Donadello, Anthony Hunter, Stefano Teso, Mauro Dragoni",MAIN TRACK,
60,Nice Perfume. How Long did You Marinate in It? Multimodal Sarcasm Explanation,2022,AAAI,"Poorav Desai, Tanmoy Chakraborty, Md Shad Akhtar",MAIN TRACK,multimodal
61,Geometry Interaction Knowledge Graph Embeddings,2022,AAAI,"Zongsheng Cao, Qianqian Xu, Zhiyong Yang, Xiaochun Cao, Qingming Huang",MAIN TRACK,graph
62,Actionable Model-Centric Explanations (Student Abstract),2022,AAAI,"Cecilia Morales, Nicholas Gisolfi, Robert Edman, James Kyle Milller, Artur Dubrawski",STUDENT ABSTRACT AND POSTER PROGRAM,
63,Self-Supervised Spatiotemporal Representation Learning by Exploiting Video Continuity,2022,AAAI,"Hanwen Liang, Niamul Quader, Zhixiang Chi, Lizhe Chen, Peng Dai, Juwei Lu, Yang Wang",MAIN TRACK,zero_few-shot/representation
64,Detecting Human-Object Interactions with Object-Guided Cross-Modal Calibrated Semantics,2022,AAAI,"Hangjie Yuan, Mang Wang, Dong Ni, Liangpeng Xu",MAIN TRACK,
65,Learning to Search in Local Branching,2022,AAAI,"Defeng Liu, Matteo Fischetti, Andrea Lodi",MAIN TRACK,
66,Logit Perturbation,2022,AAAI,"Mengyang Li, Fengguang Su, Ou Wu, Ji Zhang",MAIN TRACK,
67,Capsule Graph Neural Network for Multi-Label Image Recognition (Student Abstract),2022,AAAI,"Xiangping Zheng, Xun Liang, Bo Wu",STUDENT ABSTRACT AND POSTER PROGRAM,graph
68,Modify Self-Attention via Skeleton Decomposition for Effective Point Cloud Transformer,2022,AAAI,"Jiayi Han, Longbin Zeng, Liang Du, Xiaoqing Ye, Weiyang Ding, Jianfeng Feng",MAIN TRACK,transformer
69,Unsupervised Temporal Video Grounding with Deep Semantic Clustering,2022,AAAI,"Daizong Liu, Xiaoye Qu, Yinzhen Wang, Xing Di, Kai Zou, Yu Cheng, Zichuan Xu, Pan Zhou",MAIN TRACK,
70,AsyncFL: Asynchronous Federated Learning Using Majority Voting with Quantized Model Updates (Student Abstract),2022,AAAI,"Suji Jang, Hyuk Lim",STUDENT ABSTRACT AND POSTER PROGRAM,federated learning
71,Diaformer: Automatic Diagnosis via Symptoms Sequence Generation,2022,AAAI,"Junying Chen, Dongfang Li, Qingcai Chen, Wenxiu Zhou, Xin Liu",MAIN TRACK,generative model
72,Silence or Outbreak ‚Äì a Real-Time Emergent Topic Identification System (RealTIS) for Social Media,2022,AAAI,"Ning Lu, Zhen Yang, Jian Huang, Yaxi Wu, Hesong Wang",DEMONSTRATIONS,
73,MuMu: Cooperative Multitask Learning-Based Guided Multimodal Fusion,2022,AAAI,"Md Mofijul Islam, Tariq Iqbal",MAIN TRACK,multimodal
74,Hierarchical Multi-Supervision Multi-Interaction Graph Attention Network for Multi-Camera Pedestrian Trajectory Prediction,2022,AAAI,"Guoliang Zhao, Yuxun Zhou, Zhanbo Xu, Yadong Zhou, Jiang Wu",MAIN TRACK,graph/transformer
75,Efficient Vertex-Oriented Polytopic Projection for Web-Scale Applications,2022,AAAI,"Rohan Ramanath, S. Sathiya Keerthi, Yao Pan, Konstantin Salomatin, Kinjal Basu",MAIN TRACK,
76,Real-Time Driver-Request Assignment in Ridesourcing,2022,AAAI,"Hao Wang, Xiaohui Bei",MAIN TRACK,
77,Adversarial Robustness in Multi-Task Learning: Promises and Illusions,2022,AAAI,"Salah Ghamizi, Maxime Cordy, Mike Papadakis, Yves Le Traon",MAIN TRACK,multi-task
78,"Finding Nontrivial Minimum Fixed Points in Discrete Dynamical Systems: Complexity, Special Case Algorithms and Heuristics",2022,AAAI,"Zirou Qiu, Chen Chen, Madhav V. Marathe, S. S. Ravi, Daniel J. Rosenkrantz, Richard E. Stearns, Anil Vullikanti",MAIN TRACK,
79,Self-Supervised Audio-and-Text Pre-Training with Extremely Low-Resource Parallel Data,2022,AAAI,"Yu Kang, Tianqiao Liu, Hang Li, Yang Hao, Wenbiao Ding",MAIN TRACK,zero_few-shot
80,(2.5+1)D Spatio-Temporal Scene Graphs for Video Question Answering,2022,AAAI,"Anoop Cherian, Chiori Hori, Tim K. Marks, Jonathan Le Roux",MAIN TRACK,graph
81,Large-Neighbourhood Search for Optimisation in Answer-Set Solving,2022,AAAI,"Thomas Eiter, Tobias Geibinger, Nelson Higuera Ruiz, Nysret Musliu, Johannes Oetsch, Daria Stepanova",MAIN TRACK,
82,Longitudinal Fairness with Censorship,2022,AAAI,"Wenbin Zhang, Jeremy C Weiss",AI FOR SOCIAL IMPACT TRACK,
83,Formal Semantics and Formally Verified Validation for Temporal Planning,2022,AAAI,"Mohammad Abdulaziz, Lukas Koller",MAIN TRACK,
84,MobileFaceSwap: A Lightweight Framework for Video Face Swapping,2022,AAAI,"Zhiliang Xu, Zhibin Hong, Changxing Ding, Zhen Zhu, Junyu Han, jingtuo liu, Errui Ding",MAIN TRACK,
85,Fast and Data Efficient Reinforcement Learning from Pixels via Non-Parametric Value Approximation,2022,AAAI,"Alexander Long, Alan Blair, Herke van Hoof",MAIN TRACK,reinforcement learning/metric
86,TrustAL: Trustworthy Active Learning Using Knowledge Distillation,2022,AAAI,"Beong-Woo Kwak, Youngwook Kim, Yu Jin Kim, Seung-Won Hwang, Jinyoung Yeo",MAIN TRACK,active learning/distillation
87,I AM A.I. Gradient Descent ‚Äì an Open-Source Digital Game for Inquiry-Based CLIL Learning,2022,AAAI,"Carina Geldhauser, Andreas Daniel Matt, Christian Stussak",SENIOR MEMBER PRESENTATION TRACK - BLUE SKY,
88,Intra-Inter Subject Self-Supervised Learning for Multivariate Cardiac Signals,2022,AAAI,"Xiang Lan, Dianwen Ng, Shenda Hong, Mengling Feng",MAIN TRACK,zero_few-shot
89,Constraint-Driven Explanations for Black-Box ML Models,2022,AAAI,"Aditya A. Shrotri, Nina Narodytska, Alexey Ignatiev, Kuldeep S. Meel, Joao Marques-Silva, Moshe Y. Vardi",MAIN TRACK,optimization
90,DeformRS: Certifying Input Deformations with Randomized Smoothing,2022,AAAI,"Motasem Alfarra, Adel Bibi, Naeemullah Khan, Philip H. S. Torr, Bernard Ghanem",MAIN TRACK,
91,Learning to Ask for Data-Efficient Event Argument Extraction (Student Abstract),2022,AAAI,"Hongbin Ye, Ningyu Zhang, Zhen Bi, Shumin Deng, Chuanqi Tan, Hui Chen, Fei Huang, Huajun Chen",STUDENT ABSTRACT AND POSTER PROGRAM,
92,LCTR: On Awakening the Local Continuity of Transformer for Weakly Supervised Object Localization,2022,AAAI,"Zhiwei Chen, Changan Wang, Yabiao Wang, Guannan Jiang, Yunhang Shen, Ying Tai, Chengjie Wang, Wei Zhang, Liujuan Cao",MAIN TRACK,zero_few-shot/transformer
93,Memory-Guided Semantic Learning Network for Temporal Sentence Grounding,2022,AAAI,"Daizong Liu, Xiaoye Qu, Xing Di, Yu Cheng, Zichuan Xu, Pan Zhou",MAIN TRACK,
94,3912,2022,AAAI,Selecting Optimal Context Sentences for Event-Event Relation Extraction,MAIN TRACK,
95,Rethinking Pseudo Labels for Semi-Supervised Object Detection,2022,AAAI,"Hengduo Li, Zuxuan Wu, Abhinav Shrivastava, Larry S. Davis",MAIN TRACK,
96,End-to-End Probabilistic Label-Specific Feature Learning for Multi-Label Classification,2022,AAAI,"Jun-Yi Hang, Min-Ling Zhang, Yanghe Feng, Xiaocheng Song",MAIN TRACK,
97,Context-Based Contrastive Learning for Scene Text Recognition,2022,AAAI,"Xinyun Zhang, Binwu Zhu, Xufeng Yao, Qi Sun, Ruiyu Li, Bei Yu",MAIN TRACK,contrastive learning
98,A Model for the Prediction of Lifetime Profit Estimate of Dairy Cattle (Student Abstract),2022,AAAI,"Vahid Naghashi, Abdoulaye Banir√© Diallo",STUDENT ABSTRACT AND POSTER PROGRAM,
99,LAGConv: Local-Context Adaptive Convolution Kernels with Global Harmonic Bias for Pansharpening,2022,AAAI,"Zi-Rong Jin, Tian-Jing Zhang, Tai-Xiang Jiang, Gemine Vivone, Liang-Jian Deng",MAIN TRACK,adaptive
100,Perceiving Stroke-Semantic Context: Hierarchical Contrastive Learning for Robust Scene Text Recognition,2022,AAAI,"Hao Liu, Bin Wang, zhimin Bao, Mobai Xue, Sheng Kang, Deqiang Jiang, Yinsong Liu, Bo Ren",MAIN TRACK,contrastive learning
101,Incentivizing Collaboration in Machine Learning via Synthetic Data Rewards,2022,AAAI,"Sebastian Shenghong Tay, Xinyi Xu, Chuan Sheng Foo, Bryan Kian Hsiang Low",MAIN TRACK,
102,Meta-Learning for Online Update of Recommender Systems,2022,AAAI,"Minseok Kim, Hwanjun Song, Yooju Shin, Dongmin Park, Kijung Shin, Jae-Gil Lee",MAIN TRACK,online learning/meta-learning
103,Sim2Real Object-Centric Keypoint Detection and Description,2022,AAAI,"Chengliang Zhong, Chao Yang, Fuchun Sun, Jinshan Qi, Xiaodong Mu, Huaping Liu, Wenbing Huang",MAIN TRACK,
104,L-CoDe:Language-based Colorization using Color-Object Decoupled Conditions,2022,AAAI,"Shuchen Weng, Hao Wu, Zheng Chang, Jiajun Tang, Si Li, Boxin Shi",MAIN TRACK,
105,Instance Selection: A Bayesian Decision Theory Perspective,2022,AAAI,"Qingqiang Chen, Fuyuan Cao, Ying Xing, Jiye Liang",MAIN TRACK,bayesian
106,CoCoS: Enhancing Semi-Supervised Learning on Graphs with Unlabeled Data via Contrastive Context Sharing,2022,AAAI,"Siyue Xie, Da Sun Handason Tam, Wing Cheong Lau",MAIN TRACK,graph/contrastive learning
107,Provable Sensor Sets for Epidemic Detection over Networks with Minimum Delay,2022,AAAI,"Jack Heavey, Jiaming Cui, Chen Chen, B. Aditya Prakash, Anil Vullikanti",MAIN TRACK,
108,Parameterized Approximation Algorithms for k-Center Clustering and Variants,2022,AAAI,"Sayan Bandyapadhyay, Zachary Friggstad, Ramin Mousavi",MAIN TRACK,
109,Well-Classified Examples are Underestimated in Classification with Deep Neural Networks,2022,AAAI,"Guangxiang Zhao, Wenkai Yang, Xuancheng Ren, Lei Li, Yunfang Wu, Xu Sun",MAIN TRACK,
110,Regularization Guarantees Generalization in Bayesian Reinforcement Learning through Algorithmic Stability,2022,AAAI,"Aviv Tamar, Daniel Soudry, Ev Zisselman",MAIN TRACK,reinforcement learning/bayesian
111,Optimal Admission Control for Multiclass Queues with Time-Varying Arrival Rates via State Abstraction,2022,AAAI,"Marc Rigter, Danial Dervovic, Parisa Hassanzadeh, Jason Long, Parisa Zehtabi, Daniele Magazzeni",MAIN TRACK,
112,Multi-Type Urban Crime Prediction,2022,AAAI,"Xiangyu Zhao, Wenqi Fan, Hui Liu, Jiliang Tang",MAIN TRACK,
113,Identifiability of Linear AMP Chain Graph Models,2022,AAAI,"Yuhao Wang, Arnab Bhattacharyya",MAIN TRACK,graph
114,Inharmonious Region Localization by Magnifying Domain Discrepancy,2022,AAAI,"Jing Liang, Li Niu, Penghao Wu, Fengjun Guo, Teng Long",MAIN TRACK,
115,Generalizable Person Re-Identification via Self-Supervised Batch Norm Test-Time Adaption,2022,AAAI,"Ke Han, Chenyang Si, Yan Huang, Liang Wang, Tieniu Tan",MAIN TRACK,zero_few-shot
116,Image Difference Captioning with Pre-Training and Contrastive Learning,2022,AAAI,"Linli Yao, Weiying Wang, Qin Jin",MAIN TRACK,contrastive learning
117,Bayesian Optimization over Permutation Spaces,2022,AAAI,"Aryan Deshwal, Syrine Belakaria, Janardhan Rao Doppa, Dae Hyun Kim",MAIN TRACK,optimization/bayesian
118,Online Task Assignment Problems with Reusable Resources,2022,AAAI,"Hanna Sumita, Shinji Ito, Kei Takemura, Daisuke Hatano, Takuro Fukunaga, Naonori Kakimura, Ken-ichi Kawarabayashi",MAIN TRACK,online learning
119,Local Similarity Pattern and Cost Self-Reassembling for Deep Stereo Matching Networks,2022,AAAI,"Biyang Liu, Huimin Yu, Yangqi Long",MAIN TRACK,
120,Learning Large DAGs by Combining Continuous Optimization and Feedback Arc Set Heuristics,2022,AAAI,"Pierre Gillot, Pekka Parviainen",MAIN TRACK,optimization
121,Learning Advanced Client Selection Strategy for Federated Learning,2022,AAAI,"Sai Qian Zhang, Jieyu Lin, Qi Zhang",MAIN TRACK,federated learning
122,Improving Neural Cross-Lingual Abstractive Summarization via Employing Optimal Transport Distance for Knowledge Distillation,2022,AAAI,"Thong Nguyen, Luu Anh Tuan",MAIN TRACK,active learning/distillation
123,VECA: A New Benchmark and Toolkit for General Cognitive Development,2022,AAAI,"Kwanyoung Park, Hyunseok Oh, Youngki Lee",MAIN TRACK,
124,Proxy Learning of Visual Concepts of Fine Art Paintings from Styles through Language Models,2022,AAAI,"Diana S Kim, Ahmed Elgammal, Marian Mazzone",MAIN TRACK,
125,Exploring Visual Context for Weakly Supervised Person Search,2022,AAAI,"Yichao Yan, Jinpeng Li, Shengcai Liao, Jie Qin, Bingbing Ni, Ke Lu, Xiaokang Yang",MAIN TRACK,zero_few-shot
126,Learning Bounded Context-Free-Grammar via LSTM and the Transformer: Difference and the Explanations.,2022,AAAI,"Hui Shi, Sicun Gao, Yuandong Tian, Xinyun Chen, Jishen Zhao",MAIN TRACK,transformer
127,MIP-GNN: A Data-Driven Framework for Guiding Combinatorial Solvers,2022,AAAI,"Elias B. Khalil, Christopher Morris, Andrea Lodi",MAIN TRACK,
128,A Discriminative and Robust Feature Learning Approach for EEG-Based Motor Imagery Decoding (Student Abstract),2022,AAAI,"Xiuyu Huang, Nan Zhou, Kup-Sze Choi",STUDENT ABSTRACT AND POSTER PROGRAM,
129,Interpretable Knowledge Tracing: Simple and Efficient Student Modeling with Causal Relations,2022,AAAI,"Sein Minn, Jill-J√™nn Vie, Koh Takeuchi, Hisashi Kashima, Feida Zhu",MAIN TRACK,
130,BiRdQA: A Bilingual Dataset for Question Answering on Tricky Riddles,2022,AAAI,"Yunxiang Zhang, Xiaojun Wan",MAIN TRACK,
131,Deep Learning Based Side Channel Attacks on Lightweight Cryptography (Student Abstract),2022,AAAI,"Alexander Benjamin, Jack Herzoff, Liljana Babinkostova, Edoardo Serra",STUDENT ABSTRACT AND POSTER PROGRAM,graph
132,Liquid Democracy with Ranked Delegations,2022,AAAI,"Markus Brill, Théo Delemazure, Anne-Marie George, Martin Lackner, Ulrike Schmidt-Kraepelin",MAIN TRACK,
133,MONICA2: Mobile Neural Voice Command Assistants towards Smaller and Smarter,2022,AAAI,"Yoonseok Hong, Shounan An, Sunwoo Im, Jaegeon Jo, Insoo Oh",DEMONSTRATIONS,
134,MODNet: Real-Time Trimap-Free Portrait Matting via Objective Decomposition,2022,AAAI,"Zhanghan Ke, Jiayu Sun, Kaican Li, Qiong Yan, Rynson W.H. Lau",MAIN TRACK,
135,On the Efficacy of Small Self-Supervised Contrastive Models without Distillation Signals,2022,AAAI,"Haizhou Shi, Youcai Zhang, Siliang Tang, Wenjie Zhu, Yaqian Li, Yandong Guo, Yueting Zhuang",MAIN TRACK,zero_few-shot/contrastive learning/distillation
136,Theory of and Experiments on Minimally Invasive Stability Preservation in Changing Two-Sided Matching Markets,2022,AAAI,"Niclas Boehmer, Klaus Heeger, Rolf Niedermeier",MAIN TRACK,
137,Reliable Propagation-Correction Modulation for Video Object Segmentation,2022,AAAI,"Xiaohao Xu, Jinglu Wang, Xiao Li, Yan Lu",MAIN TRACK,segmentation
138,Explainable Metaphor Identification Inspired by Conceptual Metaphor Theory,2022,AAAI,"Mengshi Ge, Rui Mao, Erik Cambria",MAIN TRACK,meta-learning
139,Motion-Aware Embedding Enhancement for Image-Text Retrieval,2022,AAAI,"Jiangtong Li, Li Niu, Liqing Zhang",MAIN TRACK,
140,Unsupervised Learning of Compositional Scene Representations from Multiple Unspecified Viewpoints,2022,AAAI,"Jinyang Yuan, Bin Li, Xiangyang Xue",MAIN TRACK,representation
141,Cross-Task Knowledge Distillation in Multi-Task Recommendation,2022,AAAI,"Chenxiao Yang, Junwei Pan, Xiaofeng Gao, Tingyu Jiang, Dapeng Liu, Guihai Chen",MAIN TRACK,distillation/multi-task
142,Online-Updated High-Order Collaborative Networks for Single Image Deraining,2022,AAAI,"Cong Wang, Jinshan Pan, Xiao-Ming Wu",MAIN TRACK,online learning
143,C3D and Localization Model for Locating and Recognizing the Actions from Untrimmed Videos (Student Abstract),2022,AAAI,"Himanshu Singh, Tirupati Pallewad, Badri Narayan Subudhi, Vinit Jakhetiya",STUDENT ABSTRACT AND POSTER PROGRAM,
