,Title,Year,Source,Authors,Class,topic
443,TempoQR: Temporal Question Reasoning over Knowledge Graphs,2022,AAAI,"Costas Mavromatis, Prasanna Lakkur Subramanyam, Vassilis N. Ioannidis, Soji Adeshina, Phillip R. Howard, Tetiana Grinberg, Nagib Hakim, George Karypis",MAIN TRACK,graph
444,Reference-Guided Pseudo-Label Generation for Medical Semantic Segmentation,2022,AAAI,"Constantin Marc Seibold, Simon Reiß, Jens Kleesiek, Rainer Stiefelhagen",MAIN TRACK,generative model/segmentation
445,Leashing the Inner Demons: Self-Detoxification for Language Models,2022,AAAI,"Canwen Xu, Zexue He, Zhankui He, Julian McAuley",MAIN TRACK,
446,Bounds on Causal Effects and Application to High Dimensional Data,2022,AAAI,"Ang Li, Judea Pearl",MAIN TRACK,
447,Generation-Focused Table-Based Intermediate Pre-Training for Free-Form Question Answering,2022,AAAI,"Peng Shi, Patrick Ng, Feng Nan, Henghui Zhu, Jun Wang, Jiarong Jiang, Alexander Hanbo Li, Rishav Chakravarti, Donald Weidner, Bing Xiang, Zhiguo Wang",MAIN TRACK,generative model
448,Error-Based Knockoffs Inference for Controlled Feature Selection,2022,AAAI,"Xuebin Zhao, Hong Chen, Yingjie Wang, Weifu Li, Tieliang Gong, Yulong Wang, Feng Zheng",MAIN TRACK,inference
449,Offline Interactive Recommendation with Natural-Language Feedback,2022,AAAI,"Ruiyi Zhang, Tong Yu, Yilin Shen, Hongxia Jin",MAIN TRACK,active learning
450,Machine Learning for Online Algorithm Selection under Censored Feedback,2022,AAAI,"Alexander Tornede, Viktor Bengs, Eyke Hüllermeier",MAIN TRACK,online learning
451,Better Parameter-Free Stochastic Optimization with ODE Updates for Coin-Betting,2022,AAAI,"Keyi Chen, John Langford, Francesco Orabona",MAIN TRACK,optimization
452,MSML: Enhancing Occlusion-Robustness by Multi-Scale Segmentation-Based Mask Learning for Face Recognition,2022,AAAI,"Ge Yuan, Huicheng Zheng, Jiayu Dong",MAIN TRACK,segmentation
453,On the Complexity of Inductively Learning Guarded Clauses,2022,AAAI,"Matthias Lanzinger, Georg Gottlob, Andrei Draghici",MAIN TRACK,
454,An Extraction and Representation Pipeline for Literary Characters,2022,AAAI,Funing Yang,UNDERGRADUATE CONSORTIUM,representation
455,Learning V1 Simple Cells with Vector Representation of Local Content and Matrix Representation of Local Motion,2022,AAAI,"Ruiqi Gao, Jianwen Xie, Siyuan Huang, Yufan Ren, Song-Chun Zhu, Ying Nian Wu",MAIN TRACK,representation
