Title,Year,Source,Authors,Class
Do We Need a New Large-Scale Quality Assessment Database for Generative Inpainting Based 3D View Synthesis? (Student Abstract),2022,AAAI,"Sadbhawna, Vinit Jakhetiya, Badri Subudhi, Harshit Shakya, Deebha Mumtaz",STUDENT ABSTRACT AND POSTER PROGRAM
Online Apprenticeship Learning,2022,AAAI,"Lior Shani, Tom Zahavy, Shie Mannor",MAIN TRACK
Tight Neural Network Verification via Semidefinite Relaxations and Linear Reformulations,2022,AAAI,"Jianglin Lan, Alessio Lomuscio, Yang Zheng",MAIN TRACK
Towards an AI-Infused Interdisciplinary Curriculum for Middle-Grade Classrooms,2022,AAAI,"Bita Akram, Spencer Yoder, Cansu Tatar, Sankalp Boorugu, Ifeoluwa Aderemi, Shiyan Jiang",MAIN TRACK
Fast and Robust Online Inference with Stochastic Gradient Descent via Random Scaling,2022,AAAI,"Sokbae Lee, Myung Hwan Seo, Yuan Liao, Youngki Shin",MAIN TRACK
Prior Gradient Mask Guided Pruning-Aware Fine-Tuning,2022,AAAI,"linhang cai, Zhulin An, Chuanguang Yang, yangchun yan, yongjun xu",MAIN TRACK
Robust Adversarial Reinforcement Learning with Dissipation Inequation Constraint,2022,AAAI,"Peng Zhai, Jie Luo, Zhiyan Dong, Lihua Zhang, Shunli Wang, Dingkang Yang",MAIN TRACK
Predicting the Influence of Fake and Real News Spreaders (Student Abstract),2022,AAAI,"Amy Zhang, Aaron Brookhouse, Daniel Hammer, Francesca Spezzano, Liljana Babinkostova",STUDENT ABSTRACT AND POSTER PROGRAM - FINALIST
Improving Bayesian Neural Networks by Adversarial Sampling,2022,AAAI,"Jiaru Zhang, Yang Hua, Tao Song, Hao Wang, Zhengui Xue, Ruhui Ma, Haibing Guan",MAIN TRACK
Self-Labeling Framework for Novel Category Discovery over Domains,2022,AAAI,"Qing Yu, Daiki Ikami, Go Irie, Kiyoharu Aizawa",MAIN TRACK
Adversarial Training for Improving Model Robustness? Look at Both Prediction and Interpretation,2022,AAAI,"Hanjie Chen, Yangfeng Ji",MAIN TRACK
An Experimental Design Approach for Regret Minimization in Logistic Bandits,2022,AAAI,"Blake Mason, Kwang-Sung Jun, Lalit Jain",MAIN TRACK
