Title,Year,Source,Authors,Class
A Socially Relevant Focused AI Curriculum Designed for Female High School Students,2022,AAAI,"Lauren Alvarez, Isabella Gransbury, Veronica Catete, Tiffany Barnes, Akos Ledeczi, Shuchi Grover",MAIN TRACK
Transcribing Natural Languages for The Deaf via Neural Editing Programs,2022,AAAI,"Dongxu Li, Chenchen Xu, Liu Liu, Yiran Zhong, Rong Wang, Lars Petersson, Hongdong Li",AI FOR SOCIAL IMPACT TRACK
Towards Automating the Generation of Human-Robot Interaction Scenarios,2022,AAAI,Matthew Fontaine,DOCTORAL CONSORTIUM
How General-Purpose Is a Language Model? Usefulness and Safety with Human Prompters in the Wild,2022,AAAI,"P A M Casares, Bao Sheng Loe, John Burden, Sean hEigeartaigh, José Hernández-Orallo",MAIN TRACK
DRAG: Dynamic Region-Aware GCN for Privacy-Leaking Image Detection,2022,AAAI,"Guang Yang, Juan Cao*, Qiang Sheng, Peng Qi, Xirong Li, Jintao Li",AI FOR SOCIAL IMPACT TRACK
Toward Physically Realizable Quantum Neural Networks,2022,AAAI,"Mohsen Heidari, Ananth Grama, Wojciech Szpankowski",MAIN TRACK
Multilingual Code Snippets Training for Program Translation,2022,AAAI,"Ming Zhu, Karthik Suresh, Chandan K. Reddy",MAIN TRACK
Defending Graph Convolutional Networks Against Dynamic Graph Perturbations via Bayesian Self-Supervision,2022,AAAI,"Jun Zhuang, Mohammad Al Hasan",MAIN TRACK
Delving into the local: Dynamic Inconsistency Learning for DeepFake Video Detection,2022,AAAI,"Zhihao Gu, Yang Chen, Taiping Yao, Shouhong Ding, Jilin Li, Lizhuang Ma",MAIN TRACK
Open Vocabulary Electroencephalography-to-Text Decoding and Zero-Shot Sentiment Classification,2022,AAAI,"Zhenhailong Wang, Heng Ji",MAIN TRACK
SJDL-Vehicle: Semi-Supervised Joint Defogging Learning for Foggy Vehicle Re-Identification,2022,AAAI,"Wei-Ting Chen, I-Hsiang Chen, Chih-Yuan Yeh, Hao-Hsiang Yang, Jian-Jiun Ding, Sy-Yen Kuo",MAIN TRACK
Category-Specific Nuance Exploration Network for Fine-Grained Object Retrieval,2022,AAAI,"Shijie Wang, Zhihui Wang, Haojie Li, Wanli Ouyang",MAIN TRACK
Homography Decomposition Networks for Planar Object Tracking,2022,AAAI,"Xinrui Zhan, Yang Li, Yueran Liu, Jianke Zhu",MAIN TRACK
AXM-Net: Implicit Cross-Modal Feature Alignment for Person Re-Identification,2022,AAAI,"Ammarah Farooq, Muhammad Awais, Josef Kittler, Syed Safwan Khalid",MAIN TRACK
Large-Scale IP Usage Identification via Deep Ensemble Learning (Student Abstract),2022,AAAI,"Zhiyuan Wang, Fan Zhou, Kunpeng Zhang, Yong Wang",STUDENT ABSTRACT AND POSTER PROGRAM
Max-Min Grouped Bandits,2022,AAAI,"Zhenlin Wang, Jonathan Scarlett",MAIN TRACK
Weakly Supervised Neural Symbolic Learning for Cognitive Tasks,2022,AAAI,"Jidong Tian, Yitian Li, Wenqing Chen, Liqiang Xiao, Hao He, Yaohui Jin",MAIN TRACK
Locally Fair Partitioning,2022,AAAI,"Pankaj K. Agarwal, Shao-Heng Ko, Erin Taylor, Kamesh Munagala",MAIN TRACK
Joint 3D Object Detection and Tracking Using Spatio-Temporal Representation of Camera Image and LiDAR Point Clouds,2022,AAAI,"Junho Koh, Jaekyum Kim, Jin Hyeok Yoo, Yecheol Kim, Dongsuk Kum, Jun Won Choi",MAIN TRACK
TAG: Learning Timed Automata from Logs,2022,AAAI,"Lénaïg Cornanguer, Christine Largouët, Alexandre Termier, Laurence Rozé",MAIN TRACK
Task-Customized Self-Supervised Pre-Training with Scalable Dynamic Routing,2022,AAAI,"Zhili Liu, Jianhua Han, Lanqing Hong, Hang Xu, Kai Chen, Chunjing Xu, Zhenguo Li",MAIN TRACK
Towards Debiasing DNN Models from Spurious Feature Influence,2022,AAAI,"Mengnan Du, Ruixiang Tang, Weijie Fu, Xia Hu",MAIN TRACK
DOC2PPT: Automatic Presentation Slides Generation from Scientific Documents,2022,AAAI,"Tsu-Jui Fu, William Yang Wang, Daniel McDuff, Yale Song",MAIN TRACK
Fast and Constrained Absent Keyphrase Generation by Prompt-Based Learning,2022,AAAI,"Huanqin Wu, Baijiaxin Ma, Wei Liu, Tao Chen, Dan Nie",MAIN TRACK
Width & Depth Pruning for Vision Transformers,2022,AAAI,"Fang Yu, Kun Huang, Meng Wang, Yuan Cheng, Wei Chu, Li Cui",MAIN TRACK
Investigations of Performance and Bias in Human-AI Teamwork in Hiring,2022,AAAI,"Andi Peng, Besmira Nushi, Emre Kiciman, Kori Inkpen, Ece Kamar",AI FOR SOCIAL IMPACT TRACK
Multi-Centroid Representation Network for Domain Adaptive Person Re-ID,2022,AAAI,"Yuhang Wu, Tengteng Huang, Haotian Yao, Chi Zhang, Yuanjie Shao, Chuchu Han, Changxin Gao, Nong Sang",MAIN TRACK
Generalized Equivariance and Preferential Labeling for GNN Node Classification,2022,AAAI,"Zeyu Sun, Wenjie Zhang, Lili Mou, Qihao Zhu, Yingfei Xiong, Lu Zhang",MAIN TRACK
KOALA: A Kalman Optimization Algorithm with Loss Adaptivity,2022,AAAI,"Aram Davtyan, Sepehr Sameni, Llukman CERKEZI, Givi Meishvili, Adam Bielski, Paolo Favaro",MAIN TRACK
Context-Specific Representation Abstraction for Deep Option Learning,2022,AAAI,"Marwa Abdulhai, Dong-Ki Kim, Matthew Riemer, Miao Liu, Gerald Tesauro, Jonathan P. How",MAIN TRACK
TEACh: Task-Driven Embodied Agents that Chat,2022,AAAI,"Aishwarya Padmakumar, Jesse Thomason, Ayush Shrivastava, Patrick Lange, Anjali Narayan-Chen, Spandana Gella, Robinson Piramuthu, Gokhan Tur, Dilek Hakkani-Tur",MAIN TRACK
State Deviation Correction for Offline Reinforcement Learning,2022,AAAI,"Hongchang Zhang, Jianzhun Shao, Yuhang Jiang, Shuncheng He, Guanwen Zhang, Xiangyang Ji",MAIN TRACK
QUILT: Effective Multi-Class Classification on Quantum Computers Using an Ensemble of Diverse Quantum Classifiers,2022,AAAI,"Daniel Silver, Tirthak Patel, Devesh Tiwari",MAIN TRACK
Maximizing Nash Social Welfare in 2-Value Instances,2022,AAAI,"Hannaneh Akrami, Bhaskar Ray Chaudhury, Martin Hoefer, Kurt Mehlhorn, Marco Schmalhofer, Golnoosh Shahkarami, Giovanna Varricchio, Quentin Vermande, Ernest van Wijland",MAIN TRACK
GEQCA: Generic Qualitative Constraint Acquisition,2022,AAAI,"Mohamed-Bachir Belaid, Nassim Belmecheri, Arnaud Gotlieb, Nadjib Lazaar, Helge Spieker",MAIN TRACK
Chaining Value Functions for Off-Policy Learning,2022,AAAI,"Simon Schmitt, John Shawe-Taylor, Hado van Hasselt",MAIN TRACK
Consent as a Foundation for Responsible Autonomy,2022,AAAI,Munindar Singh,SENIOR MEMBER PRESENTATION TRACK - BLUE SKY
Fast Heuristic Detection of Offensive Words in Wordwheel Puzzles,2022,AAAI,"Anand Blum, R. Mitchell Parry",MAIN TRACK
Incorporating Item Frequency for Differentially Private Set Union,2022,AAAI,"Ricardo Silva Carvalho, Ke Wang, Lovedeep Gondara",MAIN TRACK
Sparse-RS: A Versatile Framework for Query-Efficient Sparse Black-Box Adversarial Attacks,2022,AAAI,"Francesco Croce, Maksym Andriushchenko, Naman D. Singh, Nicolas Flammarion, Matthias Hein",MAIN TRACK
Temporal Knowledge Graph Completion Using Box Embeddings,2022,AAAI,"Johannes Messner, Ralph Abboud, Ismail Ilkan Ceylan",MAIN TRACK
TempoQR: Temporal Question Reasoning over Knowledge Graphs,2022,AAAI,"Costas Mavromatis, Prasanna Lakkur Subramanyam, Vassilis N. Ioannidis, Soji Adeshina, Phillip R. Howard, Tetiana Grinberg, Nagib Hakim, George Karypis",MAIN TRACK
Reference-Guided Pseudo-Label Generation for Medical Semantic Segmentation,2022,AAAI,"Constantin Marc Seibold, Simon Reiß, Jens Kleesiek, Rainer Stiefelhagen",MAIN TRACK
Leashing the Inner Demons: Self-Detoxification for Language Models,2022,AAAI,"Canwen Xu, Zexue He, Zhankui He, Julian McAuley",MAIN TRACK
Bounds on Causal Effects and Application to High Dimensional Data,2022,AAAI,"Ang Li, Judea Pearl",MAIN TRACK
Generation-Focused Table-Based Intermediate Pre-Training for Free-Form Question Answering,2022,AAAI,"Peng Shi, Patrick Ng, Feng Nan, Henghui Zhu, Jun Wang, Jiarong Jiang, Alexander Hanbo Li, Rishav Chakravarti, Donald Weidner, Bing Xiang, Zhiguo Wang",MAIN TRACK
Error-Based Knockoffs Inference for Controlled Feature Selection,2022,AAAI,"Xuebin Zhao, Hong Chen, Yingjie Wang, Weifu Li, Tieliang Gong, Yulong Wang, Feng Zheng",MAIN TRACK
Offline Interactive Recommendation with Natural-Language Feedback,2022,AAAI,"Ruiyi Zhang, Tong Yu, Yilin Shen, Hongxia Jin",MAIN TRACK
Machine Learning for Online Algorithm Selection under Censored Feedback,2022,AAAI,"Alexander Tornede, Viktor Bengs, Eyke Hüllermeier",MAIN TRACK
Better Parameter-Free Stochastic Optimization with ODE Updates for Coin-Betting,2022,AAAI,"Keyi Chen, John Langford, Francesco Orabona",MAIN TRACK
MSML: Enhancing Occlusion-Robustness by Multi-Scale Segmentation-Based Mask Learning for Face Recognition,2022,AAAI,"Ge Yuan, Huicheng Zheng, Jiayu Dong",MAIN TRACK
On the Complexity of Inductively Learning Guarded Clauses,2022,AAAI,"Matthias Lanzinger, Georg Gottlob, Andrei Draghici",MAIN TRACK
An Extraction and Representation Pipeline for Literary Characters,2022,AAAI,Funing Yang,UNDERGRADUATE CONSORTIUM
Learning V1 Simple Cells with Vector Representation of Local Content and Matrix Representation of Local Motion,2022,AAAI,"Ruiqi Gao, Jianwen Xie, Siyuan Huang, Yufan Ren, Song-Chun Zhu, Ying Nian Wu",MAIN TRACK
Correlation Field for Boosting 3D Object Detection in Structured Scenes,2022,AAAI,"Jianhua Sun, Hao-Shu Fang, Xianghui Zhu, Jiefeng Li, Cewu Lu",MAIN TRACK
Multi-Knowledge Aggregation and Transfer for Semantic Segmentation,2022,AAAI,"Yuang Liu, Wei Zhang, Jun Wang",MAIN TRACK
A Fusion-Denoising Attack on InstaHide with Data Augmentation,2022,AAAI,"Xinjian Luo, Xiaokui Xiao, Yuncheng Wu, Juncheng Liu, Beng Chin Ooi",MAIN TRACK
Bayesian Model-Based Offline Reinforcement Learning for Product Allocation,2022,AAAI,"Porter Jenkins, Hua Wei, J. Stockton Jenkins, Jessie Li",MAIN TRACK
Model-Based Image Signal Processors via Learnable Dictionaries,2022,AAAI,"Marcos V. Conde, Steven McDonagh, Matteo Maggioni, Aleš Leonardis, Eduardo Pérez-Pellitero",MAIN TRACK
Multi-Scale Distillation from Multiple Graph Neural Networks,2022,AAAI,"Chunhai Zhang, Jie Liu, Kai Dang, Wenzheng Zhang",MAIN TRACK
Geometry-Contrastive Transformer for Generalized 3D Pose Transfer,2022,AAAI,"Haoyu Chen, Hao Tang, Zitong Yu, Nicu Sebe, Guoying Zhao",MAIN TRACK
PantheonRL: A MARL Library for Dynamic Training Interactions,2022,AAAI,"Bidipta Sarkar, Aditi Talati, Andy Shih, Dorsa Sadigh",DEMONSTRATIONS
Learning Universal Adversarial Perturbation by Adversarial Example,2022,AAAI,"Maosen Li, Yanhua Yang, Kun Wei, Xu Yang, Heng Huang",MAIN TRACK
Delving into Probabilistic Uncertainty for Unsupervised Domain Adaptive Person Re-Identification,2022,AAAI,"Jian Han, Yali Li, Shengjin Wang",MAIN TRACK
Synthesis from Satisficing and Temporal Goals,2022,AAAI,"Suguman Bansal, Lydia Kavraki, Moshe Y. Vardi, Andrew Wells",MAIN TRACK
Semantically Contrastive Learning for Low-Light Image Enhancement,2022,AAAI,"Dong Liang, Ling Li, Mingqiang Wei, Shuo Yang, Liyan Zhang, Wenhan Yang, Yun Du, Huiyu Zhou",MAIN TRACK
Self-Supervised Pretraining for RGB-D Salient Object Detection,2022,AAAI,"Xiaoqi Zhao, Youwei Pang, Lihe Zhang, Huchuan Lu, Xiang Ruan",MAIN TRACK
Stackelberg Actor-Critic: Game-Theoretic Reinforcement Learning Algorithms,2022,AAAI,"Liyuan Zheng, Tanner Fiez, Zane Alumbaugh, Benjamin Chasnov, Lillian J. Ratliff",MAIN TRACK
Divide-and-Regroup Clustering for Domain Adaptive Person Re-Identification,2022,AAAI,"Zhengdong Hu, Yifan Sun, Yi Yang, Jianguang Zhou",MAIN TRACK
On Improving Resource Allocations by Sharing,2022,AAAI,"Robert Bredereck, Andrzej Kaczmarczyk, Junjie Luo, Rolf Niedermeier, Florian Sachse",MAIN TRACK
SimIPU: Simple 2D Image and 3D Point Cloud Unsupervised Pre-Training for Spatial-Aware Visual Representations,2022,AAAI,"Zhenyu Li, Zehui Chen, Ang Li, Liangji Fang, Qinhong Jiang, Xianming Liu, Junjun Jiang, Bolei Zhou, Hang Zhao",MAIN TRACK
ISEEQ: Information Seeking Question Generation using Dynamic Meta-Information Retrieval and Knowledge Graphs,2022,AAAI,"Manas Gaur, Kalpa Gunaratna, Vijay Srinivasan, Hongxia Jin",MAIN TRACK
SpikeConverter: An Efficient Conversion Framework Zipping the Gap between Artificial Neural Networks and Spiking Neural Networks,2022,AAAI,"Fangxin Liu, Wenbo Zhao, Yongbiao Chen, Zongwu Wang, Li Jiang",MAIN TRACK
Trusted Multi-View Deep Learning with Opinion Aggregation,2022,AAAI,"Wei Liu, Xiaodong Yue, Yufei Chen, Thierry Denoeux",MAIN TRACK
Do Feature Attribution Methods Correctly Attribute Features?,2022,AAAI,"Yilun Zhou, Serena Booth, Marco Tulio Ribeiro, Julie Shah",MAIN TRACK
Local and Global Linear Convergence of General Low-Rank Matrix Recovery Problems,2022,AAAI,"Yingjie Bi, Haixiang Zhang, Javad Lavaei",MAIN TRACK
Robust and Resource-Efficient Data-Free Knowledge Distillation by Generative Pseudo Replay,2022,AAAI,"Kuluhan Binici, Shivam Aggarwal, Nam Trung Pham, Karianto Leman, Tulika Mitra",MAIN TRACK
KID-Review: Knowledge-Guided Scientific Review Generation with Oracle Pre-Training,2022,AAAI,"Weizhe Yuan, Pengfei Liu",MAIN TRACK
CL-NERIL: A Cross-Lingual Model for NER in Indian Languages (Student Abstract),2022,AAAI,"Akshara Prabhakar, Gouri Sankar Majumder, Ashish Anand",STUDENT ABSTRACT AND POSTER PROGRAM
ShuttleNet: Position-Aware Fusion of Rally Progress and Player Styles for Stroke Forecasting in Badminton,2022,AAAI,"Wei-Yao Wang, Hong-Han Shuai, Kai-Shiang Chang, Wen-Chih Peng",MAIN TRACK
Invariant Information Bottleneck for Domain Generalization,2022,AAAI,"Bo Li, Yifei Shen, Yezhen Wang, Wenzhen Zhu, Colorado J Reed, Dongsheng Li, Kurt Keutzer, Han Zhao",MAIN TRACK
Search Strategies for Topological Network Optimization,2022,AAAI,Michael D Moffitt,MAIN TRACK
Recursive Reasoning Graph for Multi-Agent Reinforcement Learning,2022,AAAI,"Xiaobai Ma, David Isele, Jayesh K. Gupta, Kikuo Fujimura, Mykel J. Kochenderfer",MAIN TRACK
Hierarchical Image Generation via Transformer-Based Sequential Patch Selection,2022,AAAI,"Xiaogang XU, Ning Xu",MAIN TRACK
Class-Wise Adaptive Self Distillation for Federated Learning on Non-IID Data (Student Abstract),2022,AAAI,"Yuting He, Yiqiang Chen, Xiaodong Yang, Yingwei Zhang, Bixiao Zeng",STUDENT ABSTRACT AND POSTER PROGRAM
Hierarchical Cross-Modality Semantic Correlation Learning Model for Multimodal Summarization,2022,AAAI,"Litian Zhang, Junshu Pan, Xiaoming Zhang, Feiran Huang",MAIN TRACK
BM-NAS: Bilevel Multimodal Neural Architecture Search,2022,AAAI,"Yihang Yin, Siyu Huang, Xiang Zhang",MAIN TRACK
A Repetitive Spectrum Learning Framework for Monaural Speech Enhancement in Extremely Low SNR Environments (Student Abstract),2022,AAAI,ÊñáÈë´ Âè∞,STUDENT ABSTRACT AND POSTER PROGRAM
Hyperverlet: A Symplectic Hypersolver for Hamiltonian Systems,2022,AAAI,"Frederik Baymler Mathiesen, Bin Yang, Jilin Hu",MAIN TRACK
Visual Semantics Allow for Textual Reasoning Better in Scene Text Recognition,2022,AAAI,"Yue He, Chen Chen, Jing Zhang, Juhua Liu, Fengxiang He, Chaoyue Wang, Bo Du",MAIN TRACK
6DCNN with Roto-Translational Convolution Filters for Volumetric Data Processing,2022,AAAI,"Dmitrii Zhemchuzhnikov, Ilia Igashov, Sergei Grudinin",MAIN TRACK
CrowdFL: A Marketplace for Crowdsourced Federated Learning,2022,AAAI,"Daifei Feng, Cicilia Helena, Wei Yang Bryan Lim, Jer Shyuan Ng, Hongchao Jiang, Zehui Xiong, Jiawen Kang, Han Yu, Dusit Niyato, Chunyan Miao",DEMONSTRATIONS
Manipulating SHAP via Adversarial Data Perturbations (Student Abstract),2022,AAAI,"Hubert Baniecki, Przemyslaw Biecek",STUDENT ABSTRACT AND POSTER PROGRAM
Sparse MLP for Image Recognition: Is Self-Attention Really Necessary?,2022,AAAI,"Chuanxin Tang, Yucheng Zhao, Guangting Wang, Chong Luo, Wenxuan Xie, Wenjun Zeng",MAIN TRACK
Grad-Align: Gradual Network Alignment via Graph Neural Networks (Student Abstract),2022,AAAI,"Jin-Duk Park, Cong Tran, Won-Yong Shin, Xin Cao",STUDENT ABSTRACT AND POSTER PROGRAM
Optimal Sampling Gaps for Adaptive Submodular Maximization,2022,AAAI,"Shaojie Tang, Jing Yuan",MAIN TRACK
TransZero: Attribute-Guided Transformer for Zero-Shot Learning,2022,AAAI,"Shiming Chen, Ziming Hong, Yang Liu, Guo-Sen Xie, Baigui Sun, Hao Li, Qinmu Peng, Xinge YOU, Ke Lu",MAIN TRACK
Modeling Constraints Can Identify Winning Arguments in Multi-Party Interactions (Student Abstract),2022,AAAI,"Suzanna Sia, Kokil Jaidka, Niyati Chhaya, Kevin Duh",STUDENT ABSTRACT AND POSTER PROGRAM
Self-Supervised Representation Learning Framework for Remote Physiological Measurement Using Spatiotemporal Augmentation Loss,2022,AAAI,"Hao Wang, Euijoon Ahn, Jinman Kim",MAIN TRACK
Context-Aware Health Event Prediction via Transition Functions on Dynamic Disease Graphs,2022,AAAI,"Chang Lu, Tian Han, Yue Ning",MAIN TRACK
FCA: Learning a 3D Full-Coverage Vehicle Camouflage for Multi-View Physical Adversarial Attack,2022,AAAI,"Donghua Wang, Tingsong Jiang, Jialiang Sun, Weien Zhou, Zhiqiang Gong, Xiaoya Zhang, Wen Yao, Xiaoqian Chen",MAIN TRACK
GuidedMix-Net: Semi-Supervised Semantic Segmentation by Using Labeled Images as Reference,2022,AAAI,"Peng Tu*, Yawen Huang, Feng Zheng, Zhenyu He, Liujuan Cao, Ling Shao",MAIN TRACK
Learning from Label Proportions with Prototypical Contrastive Clustering,2022,AAAI,"Laura Elena Cue la Rosa, Dario Augusto Borges Oliveira",MAIN TRACK
A Causal Debiasing Framework for Unsupervised Salient Object Detection,2022,AAAI,"Xiangru Lin, Ziyi Wu, Guanqi Chen, Guanbin Li, Yizhou Yu",MAIN TRACK
A Simplified Benchmark for Ambiguous Explanations of Knowledge Graph Link Prediction Using Relational Graph Convolutional Networks (Student Abstract),2022,AAAI,"Nicholas Halliwell, Fabien Gandon, Freddy Lecue",STUDENT ABSTRACT AND POSTER PROGRAM
Mutual Contrastive Learning for Visual Representation Learning,2022,AAAI,"Chuanguang Yang, Zhulin An, linhang cai, yongjun xu",MAIN TRACK
Weighted Fairness Notions for Indivisible Items Revisited,2022,AAAI,"Mithun Chakraborty, Erel Segal-Halevi, Warut Suksompong",MAIN TRACK
Prior-Guided Transfer Learning for Enhancing Item Representation in E-commerce,2022,AAAI,"Heng-Yi Li, Yabo Ni, Anxiang Zeng, Han Yu, Chunyan Miao",MAIN TRACK
Generalizing Reinforcement Learning through Fusing Self-Supervised Learning into Intrinsic Motivation,2022,AAAI,"Keyu Wu, Min Wu, Zhenghua Chen, Yuecong Xu, Xiaoli Li",MAIN TRACK
Efficient Dialog Policy Learning by Reasoning with Contextual Knowledge,2022,AAAI,"Haodi Zhang, Zhichao Zeng, Keting Lu, Kaishun Wu, Shiqi Zhang",MAIN TRACK
Ludus: An Optimization Framework to Balance Auto Battler Cards,2022,AAAI,"Nathaniel Budijono, Phoebe Goldman, Jack Maloney, Joseph Mueller, Phillip Walker, Jack Ladwig, Richard Freedman",MAIN TRACK
DeepVisualInsight: Time-Travelling Visualization for Spatio-Temporal Causality of Deep Classification Training,2022,AAAI,"Xianglin Yang, Yun Lin, Ruofan Liu, Zhenfeng He, Chao Wang, Jin Song Dong, Hong Mei",MAIN TRACK
Label Hallucination for Few-Shot Classification,2022,AAAI,"Yiren Jian, Lorenzo Torresani",MAIN TRACK
Bivolution: A Static and Dynamic Coupled Filter,2022,AAAI,"Xiwei Hu, Xuanhong Chen, Bingbing Ni, Teng Li, Yutian Liu",MAIN TRACK
Domain-Lifted Sampling for Universal Two-Variable Logic and Extensions,2022,AAAI,"Yuanhong Wang, Timothy van Bremen, Yuyi Wang, Ondřej Kuželka",MAIN TRACK
Wind Prediction under Random Data Corruption (Student Abstract),2022,AAAI,"Conner Flansburg, Dimitrios I. Diochnos",STUDENT ABSTRACT AND POSTER PROGRAM
Pose Guided Image Generation from Misaligned Sources via Residual Flow Based Correction,2022,AAAI,"Jiawei Lu, He Wang, Tianjia Shao, Yin Yang, Kun Zhou",MAIN TRACK
EMVLight: A Decentralized Reinforcement Learning Framework for Efficient Passage of Emergency Vehicles,2022,AAAI,"Haoran Su, Yaofeng Desmond Zhong, Biswadip Dey, Amit Chakraborty",MAIN TRACK
Interpretable Privacy Preservation of Text Representations Using Vector Steganography,2022,AAAI,Geetanjali Bihani,DOCTORAL CONSORTIUM
Algorithmic Fairness Verification with Graphical Models,2022,AAAI,"Bishwamittra Ghosh, Debabrota Basu, Kuldeep S. Meel",MAIN TRACK
On the Use of Unrealistic Predictions in Hundreds of Papers Evaluating Graph Representations,2022,AAAI,"Li-Chung Lin, Cheng-Hung Liu, Chih-Ming Chen, Kai-Chin Hsu, I-Feng Wu, Ming-Feng Tsai, Chih-Jen Lin",MAIN TRACK
How Does Knowledge Graph Embedding Extrapolate to Unseen Data: a Semantic Evidence View,2022,AAAI,"Ren Li, Yanan Cao, Qiannan Zhu, Guanqun Bi, Fang Fang, Yi Liu, Qian Li",MAIN TRACK
Solving PDE-Constrained Control Problems using Operator Learning,2022,AAAI,"Rakhoon Hwang, Jae Yong Lee, Jin Young Shin, Hyung Ju Hwang",MAIN TRACK
Language Modelling via Learning to Rank,2022,AAAI,"Arvid Frydenlund, Gagandeep Singh, Frank Rudzicz",MAIN TRACK
From Fully Trained to Fully Random Embeddings: Improving Neural Machine Translation with Compact Word Embedding Tables,2022,AAAI,"Krtin Kumar, Peyman Passban, Mehdi Rezagholizadeh, Yiusing Lau, Qun Liu",MAIN TRACK
Not All Parameters Should be Treated Equally: Deep Safe Semi-Supervised Learning under Class Distribution Mismatch,2022,AAAI,"Rundong He, Zhongyi Han, Yang Yang, Yilong Yin",MAIN TRACK
Being Friends Instead of Adversaries: Deep Networks Learn from Data Simplified by Other Networks,2022,AAAI,"Simone Marullo, Matteo Tiezzi, Marco Gori, Stefano Melacci",MAIN TRACK
Visual Sound Localization in the Wild by Cross-Modal Interference Erasing,2022,AAAI,"Xian Liu, Rui Qian, Hang Zhou, Di Hu, Weiyao Lin, Ziwei Liu, Bolei Zhou, Xiaowei Zhou",MAIN TRACK
Flex Distribution for Bounded-Suboptimal Multi-Agent Path Finding,2022,AAAI,"Shao-Hung Chan, Jiaoyang Li, Graeme Gange, Daniel Harabor, Peter J. Stuckey, Sven Koenig",MAIN TRACK
Sentiment and Emotion-Aware Multi-Modal Complaint Identification,2022,AAAI,"Apoorva Singh, Soumyodeep Dey, Anamitra Singha, Sriparna Saha",AI FOR SOCIAL IMPACT TRACK
A Goal-Driven Natural Language Interface for Creating Application Integration Workflows,2022,AAAI,"Michelle Brachman, Christopher Bygrave, Tathagata Chakraborti, Arunima Chaudhary, Zhining Ding, Casey Dugan, David Gros, Thomas Gschwind, James Johnson, Jim Laredo, Christoph Miksovic, Qian Pan, Priyanshu Rai, Ramkumar Ramalingam, Paolo Scotton, Nagarjuna Surabathina, Kartik Talamadupula",DEMONSTRATIONS
Consistency Regularization for Adversarial Robustness,2022,AAAI,"Jihoon Tack, Sihyun Yu, Jongheon Jeong, Minseon Kim, Sung Ju Hwang, Jinwoo Shin",MAIN TRACK
Identifying ATT&CK Tactics in Android Malware Control Flow Graph through Graph Representation Learning and Interpretability (Student Abstract),2022,AAAI,"Jeffrey Fairbanks, Andres Orbe, Christine Patterson, Edoardo Serra, Marion Scheepers",STUDENT ABSTRACT AND POSTER PROGRAM
Teaching Humans When to Defer to a Classifier via Exemplars,2022,AAAI,"Hussein Mozannar, Arvind Satyanarayan, David Sontag",MAIN TRACK
Uncertainty Modeling with Second-Order Transformer for Group Re-Identification,2022,AAAI,"Quan Zhang, Jianhuang Lai, Zhanxiang Feng, Xiaohua Xie",MAIN TRACK
Proximal PanNet: A Model-Based Deep Network for Pansharpening,2022,AAAI,"Xiangyong Cao, yang chen, Wenfei Cao",MAIN TRACK
Saving Stochastic Bandits from Poisoning Attacks via Limited Data Verification,2022,AAAI,"Anshuka Rangi, Long Tran-Thanh, Haifeng Xu, Massimo Franceschetti",MAIN TRACK
Monocular Camera-Based Point-Goal Navigation by Learning Depth Channel and Cross-Modality Pyramid Fusion,2022,AAAI,"Tianqi Tang, Heming Du, Xin Yu, Yi Yang",MAIN TRACK
Feature Distillation Interaction Weighting Network for Lightweight Image Super-Resolution,2022,AAAI,"Guangwei Gao, Wenjie Li, Juncheng Li, Fei Wu, Huimin Lu, Yi Yu",MAIN TRACK
NSGZero: Efficiently Learning Non-Exploitable Policy in Large-Scale Network Security Games with Neural Monte Carlo Tree Search,2022,AAAI,"Wanqi Xue, Bo An, Chai Kiat Yeo",MAIN TRACK
Adaptive Image-to-Video Scene Graph Generation via Knowledge Reasoning and Adversarial Learning,2022,AAAI,"Jin Chen, Xiaofeng Ji, Xinxiao Wu",MAIN TRACK
Procedural Text Understanding via Scene-Wise Evolution,2022,AAAI,"Jialong Tang, Hongyu Lin, Meng Liao, Yaojie Lu, Xianpei Han, Le Sun, Weijian Xie, Jin Xu",MAIN TRACK
A Search Engine for Discovery of Scientific Challenges and Directions,2022,AAAI,"Dan Lahav, Jon Saad Falcon, Bailey Kuehl, Sophie Johnson, Sravanthi Parasa, Noam Shomron, Duen Horng Chau, Diyi Yang, Eric Horvitz, Daniel S. Weld, Tom Hope",AI FOR SOCIAL IMPACT TRACK
Fractional Adaptive Linear Units,2022,AAAI,"Julio Zamora, Anthony D. Rhodes, Lama Nachman",MAIN TRACK
Blindfolded Attackers Still Threatening: Strict Black-Box Adversarial Attacks on Graphs,2022,AAAI,"Jiarong Xu, Yizhou Sun, Xin Jiang, Yanhao Wang, Chunping Wang, Jiangang Lu, Yang Yang",MAIN TRACK
SVGA-Net: Sparse Voxel-Graph Attention Network for 3D Object Detection from Point Clouds,2022,AAAI,"Qingdong He, Zhengning Wang, Hao Zeng, Yi Zeng, Yijun Liu",MAIN TRACK
End-to-End Learning the Partial Permutation Matrix for Robust 3D Point Cloud Registration,2022,AAAI,"Zhiyuan Zhang, Jiadai Sun, Yuchao Dai, Dingfu Zhou, Xibin Song, Mingyi He",MAIN TRACK
Unsupervised Adversarially Robust Representation Learning on Graphs,2022,AAAI,"Jiarong Xu, Yang Yang, Junru Chen, Xin Jiang, Chunping Wang, Jiangang Lu, Yizhou Sun",MAIN TRACK
